ID ,,  Year  ,       Award      ,Winner,      Name           Film        
250 , 1940 , Actress in a Leading Role , 1 , Ginger Rogers , Kitty Foyle
262 , 1940 , Actress in a Leading Role , 0 , Katharine Hepburn , The Philadelphia Story
258 , 1940 , Actor in a Supporting Role , 0 , Jack Oakie , The Great Dictator
253 , 1940 , Actor in a Leading Role , 0 , Henry Fonda , The Grapes of Wrath
276 , 1941 , Actor in a Supporting Role , 0 , Walter Brennan , Sergeant York
281 , 1941 , Actress in a Leading Role , 0 , Olivia de Havilland , Hold Back the Dawn
278 , 1941 , Actor in a Supporting Role , 0 , James Gleason , Here Comes Mr. Jordan
269 , 1941 , Actor in a Supporting Role , 1 , Donald Crisp , How Green Was My Valley
272 , 1941 , Actor in a Leading Role , 0 , Cary Grant , Penny Serenade
268 , 1941 , Actor in a Leading Role , 1 , Gary Cooper , Sergeant York
286 , 1941 , Actress in a Supporting Role , 0 , Teresa Wright , The Little Foxes
284 , 1941 , Actress in a Supporting Role , 0 , Sara Allgood , How Green Was My Valley
274 , 1941 , Actor in a Leading Role , 0 , Robert Montgomery , Here Comes Mr. Jordan
282 , 1941 , Actress in a Leading Role , 0 , Greer Garson , Blossoms in the Dust
273 , 1941 , Actor in a Leading Role , 0 , Walter Huston , All That Money Can Buy
285 , 1941 , Actress in a Supporting Role , 0 , Patricia Collinge , The Little Foxes
280 , 1941 , Actress in a Leading Role , 0 , Bette Davis , The Little Foxes
287 , 1941 , Actress in a Supporting Role , 0 , Margaret Wycherly , Sergeant York
275 , 1941 , Actor in a Leading Role , 0 , Orson Welles , Citizen Kane
270 , 1941 , Actress in a Leading Role , 1 , Joan Fontaine , Suspicion
279 , 1941 , Actor in a Supporting Role , 0 , Sydney Greenstreet , The Maltese Falcon
283 , 1941 , Actress in a Leading Role , 0 , Barbara Stanwyck , Ball of Fire
277 , 1941 , Actor in a Supporting Role , 0 , Charles Coburn , The Devil and Miss Jones
271 , 1941 , Actress in a Supporting Role , 1 , Mary Astor , The Great Lie
298 , 1942 , Actor in a Supporting Role , 0 , Frank Morgan , Tortilla Flat
293 , 1942 , Actor in a Leading Role , 0 , Gary Cooper , The Pride of the Yankees
288 , 1942 , Actor in a Leading Role , 1 , James Cagney , Yankee Doodle Dandy
296 , 1942 , Actor in a Supporting Role , 0 , William Bendix , Wake Island
292 , 1942 , Actor in a Leading Role , 0 , Ronald Colman , Random Harvest
299 , 1942 , Actor in a Supporting Role , 0 , Henry Travers , Mrs. Miniver
302 , 1942 , Actress in a Leading Role , 0 , Rosalind Russell , My Sister Eileen
304 , 1942 , Actress in a Supporting Role , 0 , Gladys Cooper , "Now, Voyager"
301 , 1942 , Actress in a Leading Role , 0 , Katharine Hepburn , Woman of the Year
294 , 1942 , Actor in a Leading Role , 0 , Walter Pidgeon , Mrs. Miniver
303 , 1942 , Actress in a Leading Role , 0 , Teresa Wright , The Pride of the Yankees
290 , 1942 , Actress in a Leading Role , 1 , Greer Garson , Mrs. Miniver
306 , 1942 , Actress in a Supporting Role , 0 , Susan Peters , Random Harvest
289 , 1942 , Actor in a Supporting Role , 1 , Van Heflin , Johnny Eager
297 , 1942 , Actor in a Supporting Role , 0 , Walter Huston , Yankee Doodle Dandy
305 , 1942 , Actress in a Supporting Role , 0 , Agnes Moorehead , The Magnificent Ambersons
300 , 1942 , Actress in a Leading Role , 0 , Bette Davis , "Now, Voyager"
291 , 1942 , Actress in a Supporting Role , 1 , Teresa Wright , Mrs. Miniver
295 , 1942 , Actor in a Leading Role , 0 , Monty Woolley , The Pied Piper
