ID ,,  Year  ,       Award      ,Winner,      Name           Film        
1614 , 2008 , Actor in a Leading Role , 0 , Brad Pitt , The Curious Case of Benjamin Button
1692 , 2012 , Actor in a Leading Role , 0 , Bradley Cooper , Silver Linings Playbook
1733 , 2014 , Actor in a Leading Role , 0 , Bradley Cooper , American Sniper
1717 , 2013 , Actor in a Supporting Role , 0 , Bradley Cooper , American Hustle
517 , 1953 , Actor in a Supporting Role , 0 , Brandon De Wilde , Shane
1380 , 1996 , Actress in a Leading Role , 0 , Brenda Blethyn , Secrets & Lies
1425 , 1998 , Actress in a Supporting Role , 0 , Brenda Blethyn , Little Voice
1231 , 1989 , Actress in a Supporting Role , 1 , Brenda Fricker , My Left Foot
967 , 1975 , Actress in a Supporting Role , 0 , Brenda Vaccaro , Jacqueline Susann's Once Is Not Enough
236 , 1939 , Actor in a Supporting Role , 0 , Brian Aherne , Juarez
238 , 1939 , Actor in a Supporting Role , 0 , Brian Donlevy , Beau Geste
1750 , 2015 , Actress in a Leading Role , 1 , Brie Larson , Room
428 , 1949 , Actor in a Leading Role , 1 , Broderick Crawford , All the King's Men
1256 , 1990 , Actor in a Supporting Role , 0 , Bruce Davison , Longtime Companion
1016 , 1978 , Actor in a Supporting Role , 0 , Bruce Dern , Coming Home
1713 , 2013 , Actor in a Leading Role , 0 , Bruce Dern , Nebraska
1752 , 2015 , Actor in a Leading Role , 0 , Bryan Cranston , Trumbo
957 , 1975 , Actor in a Supporting Role , 0 , Burgess Meredith , The Day of the Locust
977 , 1976 , Actor in a Supporting Role , 0 , Burgess Meredith , Rocky
609 , 1958 , Actor in a Supporting Role , 1 , Burl Ives , The Big Country
515 , 1953 , Actor in a Leading Role , 0 , Burt Lancaster , From Here to Eternity
1073 , 1981 , Actor in a Leading Role , 0 , Burt Lancaster , Atlantic City
692 , 1962 , Actor in a Leading Role , 0 , Burt Lancaster , Birdman of Alcatraz
648 , 1960 , Actor in a Leading Role , 1 , Burt Lancaster , Elmer Gantry
1399 , 1997 , Actor in a Supporting Role , 0 , Burt Reynolds , Boogie Nights
979 , 1976 , Actor in a Supporting Role , 0 , Burt Young , Rocky
1684 , 2011 , Actress in a Supporting Role , 0 , Bí©rí©nice Bejo , The Artist
1046 , 1979 , Actress in a Supporting Role , 0 , Candice Bergen , Starting Over
925 , 1973 , Actress in a Supporting Role , 0 , Candy Clark , American Graffiti
627 , 1958 , Actress in a Supporting Role , 0 , Cara Williams , The Defiant Ones
1641 , 2009 , Actress in a Leading Role , 0 , Carey Mulligan , An Education
804 , 1967 , Actress in a Supporting Role , 0 , Carol Channing , Thoroughly Modern Millie
963 , 1975 , Actress in a Leading Role , 0 , Carol Kane , Hester Street
182 , 1936 , Actress in a Leading Role , 0 , Carole Lombard , My Man Godfrey
604 , 1957 , Actress in a Supporting Role , 0 , Carolyn Jones , The Bachelor Party
864 , 1970 , Actress in a Leading Role , 0 , Carrie Snodgress , Diary of a Mad Housewife
580 , 1956 , Actress in a Leading Role , 0 , Carroll Baker , Baby Doll
272 , 1941 , Actor in a Leading Role , 0 , Cary Grant , Penny Serenade
334 , 1944 , Actor in a Leading Role , 0 , Cary Grant , None but the Lonely Heart
1596 , 2007 , Actor in a Supporting Role , 0 , Casey Affleck , The Assassination of Jesse James by the Coward Robert Ford
1768 , 2016 , Actor in a Leading Role , 0 , Casey Affleck , Manchester by the Sea
1541 , 2004 , Actress in a Leading Role , 0 , Catalina Sandino Moreno , Maria Full of Grace
1420 , 1998 , Actress in a Leading Role , 0 , Cate Blanchett , Elizabeth
1760 , 2015 , Actress in a Leading Role , 0 , Cate Blanchett , Carol
1710 , 2013 , Actress in a Leading Role , 1 , Cate Blanchett , Blue Jasmine
1604 , 2007 , Actress in a Supporting Role , 0 , Cate Blanchett , I'm Not There
1600 , 2007 , Actress in a Leading Role , 0 , Cate Blanchett , Elizabeth: The Golden Age
1585 , 2006 , Actress in a Supporting Role , 0 , Cate Blanchett , Notes on a Scandal
1531 , 2004 , Actress in a Supporting Role , 1 , Cate Blanchett , The Aviator
844 , 1969 , Actress in a Supporting Role , 0 , Catherine Burns , Last Summer
1300 , 1992 , Actress in a Leading Role , 0 , Catherine Deneuve , Indochine
1445 , 1999 , Actress in a Supporting Role , 0 , Catherine Keener , Being John Malkovich
1565 , 2005 , Actress in a Supporting Role , 0 , Catherine Keener , Capote
1491 , 2002 , Actress in a Supporting Role , 1 , Catherine Zeta-Jones , Chicago
1066 , 1980 , Actress in a Supporting Role , 0 , Cathy Moriarty , Raging Bull
419 , 1948 , Actor in a Supporting Role , 0 , Cecil Kellaway , The Luck of the Irish
798 , 1967 , Actor in a Supporting Role , 0 , Cecil Kellaway , Guess Who's Coming to Dinner
391 , 1947 , Actress in a Supporting Role , 1 , Celeste Holm , Gentleman's Agreement
465 , 1950 , Actress in a Supporting Role , 0 , Celeste Holm , All about Eve
445 , 1949 , Actress in a Supporting Role , 0 , Celeste Holm , Come to the Stable
380 , 1946 , Actress in a Leading Role , 0 , Celia Johnson , Brief Encounter
316 , 1943 , Actor in a Supporting Role , 0 , Charles Bickford , The Song of Bernadette
416 , 1948 , Actor in a Supporting Role , 0 , Charles Bickford , Johnny Belinda
396 , 1947 , Actor in a Supporting Role , 0 , Charles Bickford , The Farmer's Daughter
192 , 1937 , Actor in a Leading Role , 0 , Charles Boyer , Conquest
672 , 1961 , Actor in a Leading Role , 0 , Charles Boyer , Fanny
332 , 1944 , Actor in a Leading Role , 0 , Charles Boyer , Gaslight
212 , 1938 , Actor in a Leading Role , 0 , Charles Boyer , Algiers
252 , 1940 , Actor in a Leading Role , 0 , Charles Chaplin , The Great Dictator
277 , 1941 , Actor in a Supporting Role , 0 , Charles Coburn , The Devil and Miss Jones
376 , 1946 , Actor in a Supporting Role , 0 , Charles Coburn , The Green Years
309 , 1943 , Actor in a Supporting Role , 1 , Charles Coburn , The More the Merrier
1096 , 1982 , Actor in a Supporting Role , 0 , Charles Durning , The Best Little Whorehouse in Texas
1116 , 1983 , Actor in a Supporting Role , 0 , Charles Durning , To Be or Not to Be
144 , 1933 , Actor in a Leading Role , 1 , Charles Laughton , The Private Life of Henry VIII
594 , 1957 , Actor in a Leading Role , 0 , Charles Laughton , Witness for the Prosecution
160 , 1935 , Actor in a Leading Role , 0 , Charles Laughton , Mutiny on the Bounty
1510 , 2003 , Actress in a Leading Role , 1 , Charlize Theron , Monster
1563 , 2005 , Actress in a Leading Role , 0 , Charlize Theron , North Country
1762 , 2015 , Actress in a Leading Role , 0 , Charlotte Rampling , 45 Years
628 , 1959 , Actor in a Leading Role , 1 , Charlton Heston , Ben-Hur
1337 , 1994 , Actor in a Supporting Role , 0 , Chazz Palminteri , Bullets over Broadway
1124 , 1983 , Actress in a Supporting Role , 0 , Cher , Silkwood
1190 , 1987 , Actress in a Leading Role , 1 , Cher , Moonstruck
108 , 1929 , Actor in a Leading Role , 0 , Chester Morris , Alibi
858 , 1970 , Actor in a Supporting Role , 0 , Chief Dan George , Little Big Man
659 , 1960 , Actor in a Supporting Role , 0 , Chill Wills , The Alamo
1715 , 2013 , Actor in a Leading Role , 0 , Chiwetel Ejiofor , 12 Years a Slave
1447 , 1999 , Actress in a Supporting Role , 0 , Chloí‚ Sevigny , Boys Don't Cry
1489 , 2002 , Actor in a Supporting Role , 1 , Chris Cooper , Adaptation
958 , 1975 , Actor in a Supporting Role , 0 , Chris Sarandon , Dog Day Afternoon
1649 , 2010 , Actor in a Supporting Role , 1 , Christian Bale , The Fighter
1756 , 2015 , Actor in a Supporting Role , 0 , Christian Bale , The Big Short
1712 , 2013 , Actor in a Leading Role , 0 , Christian Bale , American Hustle
1146 , 1984 , Actress in a Supporting Role , 0 , Christine Lahti , Swing Shift
1629 , 2009 , Actor in a Supporting Role , 1 , Christoph Waltz , Inglourious Basterds
1689 , 2012 , Actor in a Supporting Role , 1 , Christoph Waltz , Django Unchained
1638 , 2009 , Actor in a Supporting Role , 0 , Christopher Plummer , The Last Station
1669 , 2011 , Actor in a Supporting Role , 1 , Christopher Plummer , Beginners
1009 , 1978 , Actor in a Supporting Role , 1 , Christopher Walken , The Deer Hunter
1499 , 2002 , Actor in a Supporting Role , 0 , Christopher Walken , Catch Me If You Can
902 , 1972 , Actress in a Leading Role , 0 , Cicely Tyson , Sounder
206 , 1937 , Actress in a Supporting Role , 0 , Claire Trevor , Dead End
547 , 1954 , Actress in a Supporting Role , 0 , Claire Trevor , The High and the Mighty
411 , 1948 , Actress in a Supporting Role , 1 , Claire Trevor , Key Largo
150 , 1934 , Actor in a Leading Role , 1 , Clark Gable , It Happened One Night
232 , 1939 , Actor in a Leading Role , 0 , Clark Gable , Gone with the Wind
159 , 1935 , Actor in a Leading Role , 0 , Clark Gable , Mutiny on the Bounty
239 , 1939 , Actor in a Supporting Role , 0 , Claude Rains , Mr. Smith Goes to Washington
378 , 1946 , Actor in a Supporting Role , 0 , Claude Rains , Notorious
337 , 1944 , Actor in a Supporting Role , 0 , Claude Rains , Mr. Skeffington
318 , 1943 , Actor in a Supporting Role , 0 , Claude Rains , Casablanca
151 , 1934 , Actress in a Leading Role , 1 , Claudette Colbert , It Happened One Night
340 , 1944 , Actress in a Leading Role , 0 , Claudette Colbert , Since You Went Away
164 , 1935 , Actress in a Leading Role , 0 , Claudette Colbert , Private Worlds
808 , 1968 , Actor in a Leading Role , 1 , Cliff Robertson , Charly
338 , 1944 , Actor in a Supporting Role , 0 , Clifton Webb , Laura
415 , 1948 , Actor in a Leading Role , 0 , Clifton Webb , Sitting Pretty
379 , 1946 , Actor in a Supporting Role , 0 , Clifton Webb , The Razor's Edge
1293 , 1992 , Actor in a Leading Role , 0 , Clint Eastwood , Unforgiven
1535 , 2004 , Actor in a Leading Role , 0 , Clint Eastwood , Million Dollar Baby
1539 , 2004 , Actor in a Supporting Role , 0 , Clive Owen , Closer
871 , 1971 , Actress in a Supporting Role , 1 , Cloris Leachman , The Last Picture Show
505 , 1952 , Actress in a Supporting Role , 0 , Colette Marchand , Moulin Rouge
1633 , 2009 , Actor in a Leading Role , 0 , Colin Firth , A Single Man
1648 , 2010 , Actor in a Leading Role , 1 , Colin Firth , The King's Speech
114 , 1929 , Actress in a Leading Role , 0 , Corinne Griffith , The Divine Lady
355 , 1945 , Actor in a Leading Role , 0 , Cornel Wilde , A Song to Remember
725 , 1963 , Actress in a Supporting Role , 0 , Dame Edith Evans , Tom Jones
802 , 1967 , Actress in a Leading Role , 0 , Dame Edith Evans , The Whisperers
745 , 1964 , Actress in a Supporting Role , 0 , Dame Edith Evans , The Chalk Garden
207 , 1937 , Actress in a Supporting Role , 0 , Dame May Whitty , Night Must Fall
307 , 1942 , Actress in a Supporting Role , 0 , Dame May Whitty , Mrs. Miniver
1237 , 1989 , Actor in a Supporting Role , 0 , Dan Aykroyd , Driving Miss Daisy
414 , 1948 , Actor in a Leading Role , 0 , Dan Dailey , When My Baby Smiles at Me
535 , 1954 , Actor in a Leading Role , 0 , Dan O'Herlihy , Adventures of Robinson Crusoe
1228 , 1989 , Actor in a Leading Role , 1 , Daniel Day Lewis , My Left Foot
1312 , 1993 , Actor in a Leading Role , 0 , Daniel Day-Lewis , In the Name of the Father
1688 , 2012 , Actor in a Leading Role , 1 , Daniel Day-Lewis , Lincoln
1588 , 2007 , Actor in a Leading Role , 1 , Daniel Day-Lewis , There Will Be Blood
1494 , 2002 , Actor in a Leading Role , 0 , Daniel Day-Lewis , Gangs of New York
818 , 1968 , Actor in a Supporting Role , 0 , Daniel Massey , Star!
1236 , 1989 , Actor in a Supporting Role , 0 , Danny Aiello , Do the Right Thing
608 , 1958 , Actor in a Leading Role , 1 , David Niven , Separate Tables
1299 , 1992 , Actor in a Supporting Role , 0 , David Paymer , Mr. Saturday Night
1555 , 2005 , Actor in a Leading Role , 0 , David Strathairn , "Good Night, and Good Luck."
429 , 1949 , Actor in a Supporting Role , 1 , Dean Jagger , Twelve O'Clock High
1219 , 1988 , Actor in a Supporting Role , 0 , Dean Stockwell , Married to the Mob
742 , 1964 , Actress in a Leading Role , 0 , Debbie Reynolds , The Unsinkable Molly Brown
442 , 1949 , Actress in a Leading Role , 0 , Deborah Kerr , "Edward, My Son"
661 , 1960 , Actress in a Leading Role , 0 , Deborah Kerr , The Sundowners
620 , 1958 , Actress in a Leading Role , 0 , Deborah Kerr , Separate Tables
600 , 1957 , Actress in a Leading Role , 0 , Deborah Kerr , "Heaven Knows, Mr. Allison"
583 , 1956 , Actress in a Leading Role , 0 , Deborah Kerr , The King and I
522 , 1953 , Actress in a Leading Role , 0 , Deborah Kerr , From Here to Eternity
1103 , 1982 , Actress in a Leading Role , 0 , Debra Winger , An Officer and a Gentleman
1323 , 1993 , Actress in a Leading Role , 0 , Debra Winger , Shadowlands
1123 , 1983 , Actress in a Leading Role , 0 , Debra Winger , Terms of Endearment
